                start_time                     end_time   sec_from_start        exposure       rate_3       rate_4       rate_5     rate_sum
                       ---                          ---              ---             ---    70-110keV   110-170keV   170-240keV    70-240keV
                     (UTC)                        (UTC)              (s)             (s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)
2022-09-26 10:40:47.246354   2022-09-26 10:40:51.246354        248.00000       4.0000000      73.2500      41.0000      16.7500      131.000
2022-09-26 10:40:51.246331   2022-09-26 10:40:55.246331        251.99998       4.0000000      73.0000      50.0000      15.0000      138.000
2022-09-26 10:40:55.246333   2022-09-26 10:40:59.246333        255.99998       4.0000000      66.7500      41.2500      20.0000      128.000
2022-09-26 10:40:59.246337   2022-09-26 10:41:03.246337        259.99998       4.0000000      80.2500      51.7500      17.2500      149.250
2022-09-26 10:41:03.246337   2022-09-26 10:41:07.246337        263.99998       4.0000000      70.2500      45.7500      17.2500      133.250
2022-09-26 10:41:07.246337   2022-09-26 10:41:11.246337        267.99998       4.0000000      81.0000      50.0000      19.2500      150.250
2022-09-26 10:41:11.246337   2022-09-26 10:41:15.246337        271.99998       4.0000000      71.7500      47.7500      20.7500      140.250
2022-09-26 10:41:15.246337   2022-09-26 10:41:19.246337        275.99998       4.0000000      75.2500      52.7500      20.0000      148.000
2022-09-26 10:41:19.246338   2022-09-26 10:41:23.246338        279.99998       4.0000000      82.7500      53.0000      26.7500      162.500
2022-09-26 10:41:23.246341   2022-09-26 10:41:27.246341        283.99999       4.0000000      95.2500      67.2500      39.2500      201.750
2022-09-26 10:41:27.246344   2022-09-26 10:41:31.246344        287.99999       4.0000000      95.5000      75.5000      40.7500      211.750
2022-09-26 10:41:31.246352   2022-09-26 10:41:35.246352        292.00000       4.0000000      106.250      93.0000      45.5000      244.750
2022-09-26 10:41:35.246334   2022-09-26 10:41:39.246334        295.99998       4.0000000      130.250      115.000      67.0000      312.250
2022-09-26 10:41:39.246339   2022-09-26 10:41:43.246339        299.99998       4.0000000      178.000      187.250      121.000      486.250

