         start_time              end_time        sec_from_start     exposure       rate_0       rate_1       rate_2     rate_sum
                ---                   ---                   ---          ---    70-110keV   110-370keV   370-630keV    70-630keV
              (UTC)                 (UTC)                   (s)          (s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)
2021-10-18 22:30:48   2021-10-18 22:30:52                   296      4.00000      63.5000      59.7500      16.2500      139.500
2021-10-18 22:30:52   2021-10-18 22:30:56                   300      4.00000      65.5000      53.0000      17.7500      136.250
2021-10-18 22:30:56   2021-10-18 22:31:00                   304      4.00000      54.5000      54.7500      16.5000      125.750
2021-10-18 22:31:00   2021-10-18 22:31:04                   308      4.00000      57.7500      62.0000      16.0000      135.750
2021-10-18 22:31:04   2021-10-18 22:31:08                   312      4.00000      62.7500      53.7500      19.2500      135.750
2021-10-18 22:31:08   2021-10-18 22:31:12                   316      4.00000      64.0000      52.0000      13.2500      129.250
2021-10-18 22:31:12   2021-10-18 22:31:16                   320      4.00000      60.5000      50.5000      20.0000      131.000
2021-10-18 22:31:16   2021-10-18 22:31:20                   324      4.00000      65.0000      48.0000      17.7500      130.750
2021-10-18 22:31:20   2021-10-18 22:31:24                   328      4.00000      56.7500      50.5000      20.2500      127.500
2021-10-18 22:31:24   2021-10-18 22:31:28                   332      4.00000      57.7500      46.5000      19.5000      123.750
2021-10-18 22:31:28   2021-10-18 22:31:32                   336      4.00000      51.7500      55.5000      19.7500      127.000
2021-10-18 22:31:32   2021-10-18 22:31:36                   340      4.00000      64.5000      51.0000      19.2500      134.750
2021-10-18 22:31:36   2021-10-18 22:31:40                   344      4.00000      65.5000      51.2500      19.2500      136.000
2021-10-18 22:31:40   2021-10-18 22:31:44                   348      4.00000      58.0000      60.5000      21.0000      139.500
2021-10-18 22:31:44   2021-10-18 22:31:48                   352      4.00000      61.2500      53.7500      18.5000      133.500
2021-10-18 22:31:48   2021-10-18 22:31:52                   356      4.00000      63.5000      48.2500      17.5000      129.250
2021-10-18 22:31:52   2021-10-18 22:31:56                   360      4.00000      58.2500      58.7500      17.0000      134.000
2021-10-18 22:31:56   2021-10-18 22:32:00                   364      4.00000      57.5000      58.0000      16.5000      132.000
2021-10-18 22:32:00   2021-10-18 22:32:04                   368      4.00000      48.5000      48.7500      21.5000      118.750
2021-10-18 22:32:04   2021-10-18 22:32:08                   372      4.00000      50.7500      48.5000      16.5000      115.750
2021-10-18 22:32:08   2021-10-18 22:32:12                   376      4.00000      51.0000      41.2500      20.0000      112.250
2021-10-18 22:32:12   2021-10-18 22:32:16                   380      4.00000      55.5000      50.0000      16.0000      121.500
2021-10-18 22:32:16   2021-10-18 22:32:20                   384      4.00000      60.5000      53.2500      16.7500      130.500
2021-10-18 22:32:20   2021-10-18 22:32:24                   388      4.00000      60.7500      55.0000      16.2500      132.000
2021-10-18 22:32:24   2021-10-18 22:32:28                   392      4.00000      59.7500      56.7500      16.7500      133.250
2021-10-18 22:32:28   2021-10-18 22:32:32                   396      4.00000      55.2500      53.7500      18.0000      127.000
2021-10-18 22:32:32   2021-10-18 22:32:36                   400      4.00000      55.5000      50.5000      20.7500      126.750
2021-10-18 22:32:36   2021-10-18 22:32:40                   404      4.00000      55.0000      57.2500      20.2500      132.500
2021-10-18 22:32:40   2021-10-18 22:32:44                   408      4.00000      58.2500      47.7500      19.5000      125.500
2021-10-18 22:32:44   2021-10-18 22:32:48                   412      4.00000      52.0000      50.2500      16.7500      119.000
2021-10-18 22:32:48   2021-10-18 22:32:52                   416      4.00000      59.0000      49.5000      15.7500      124.250
2021-10-18 22:32:52   2021-10-18 22:32:56                   420      4.00000      59.0000      49.0000      17.2500      125.250
2021-10-18 22:32:56   2021-10-18 22:33:00                   424      4.00000      60.7500      59.0000      21.2500      141.000
2021-10-18 22:33:00   2021-10-18 22:33:04                   428      4.00000      55.2500      53.2500      22.5000      131.000
2021-10-18 22:33:04   2021-10-18 22:33:08                   432      4.00000      60.0000      51.0000      17.5000      128.500
2021-10-18 22:33:08   2021-10-18 22:33:12                   436      4.00000      55.7500      47.7500      18.5000      122.000
2021-10-18 22:33:12   2021-10-18 22:33:16                   440      4.00000      59.7500      49.5000      17.7500      127.000

