                start_time                     end_time   sec_from_start        exposure       rate_1       rate_2       rate_3       rate_4       rate_5       rate_6       rate_7     rate_sum
                       ---                          ---              ---             ---    70-110keV   110-240keV   240-370keV   370-500keV   500-630keV   630-760keV   760-890keV    70-890keV
                     (UTC)                        (UTC)              (s)             (s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)
2022-08-29 14:38:51.900638   2022-08-29 14:38:54.900638        162.00000       3.0000000      70.0000      70.6667      23.0000      55.6667      17.6667     0.333333      0.00000      237.333
2022-08-29 14:38:54.900647   2022-08-29 14:38:57.900647        165.00001       3.0000000      71.0000      56.0000      16.3333      58.0000      18.0000      0.00000      0.00000      219.333
2022-08-29 14:38:57.900656   2022-08-29 14:39:00.900656        168.00002       3.0000000      64.6667      59.0000      27.0000      53.6667      17.0000      0.00000      0.00000      221.333
2022-08-29 14:39:00.900663   2022-08-29 14:39:03.900663        171.00003       3.0000000      61.6667      73.0000      17.0000      60.0000      15.0000     0.333333      0.00000      227.000
2022-08-29 14:39:03.900641   2022-08-29 14:39:06.900641        174.00001       3.0000000      59.3333      63.0000      21.6667      60.0000      20.3333      0.00000      0.00000      224.333
2022-08-29 14:39:06.900651   2022-08-29 14:39:09.900651        177.00002       3.0000000      66.0000      55.6667      23.3333      62.0000      28.0000     0.333333      0.00000      235.333
2022-08-29 14:39:09.900659   2022-08-29 14:39:12.900659        180.00002       3.0000000      63.6667      59.6667      22.0000      58.6667      23.3333      0.00000      0.00000      227.333
2022-08-29 14:39:12.900638   2022-08-29 14:39:15.900638        183.00000       3.0000000      58.0000      60.3333      24.3333      67.6667      25.3333      0.00000      0.00000      235.667
2022-08-29 14:39:15.900647   2022-08-29 14:39:18.900647        186.00001       3.0000000      55.6667      62.3333      30.0000      71.3333      19.0000      0.00000      0.00000      238.333
2022-08-29 14:39:18.900656   2022-08-29 14:39:21.900656        189.00002       3.0000000      64.6667      64.3333      21.6667      64.6667      17.0000     0.333333      0.00000      232.667
2022-08-29 14:39:21.900664   2022-08-29 14:39:24.900664        192.00003       3.0000000      66.0000      63.0000      22.6667      70.0000      19.0000     0.333333      0.00000      241.000
2022-08-29 14:39:24.900636   2022-08-29 14:39:27.900636        195.00000       3.0000000      62.3333      67.0000      21.3333      61.0000      15.3333      0.00000      0.00000      227.000
2022-08-29 14:39:27.900644   2022-08-29 14:39:30.900644        198.00001       3.0000000      58.6667      63.6667      23.6667      66.3333      20.0000      0.00000      0.00000      232.333
2022-08-29 14:39:30.900653   2022-08-29 14:39:33.900653        201.00002       3.0000000      73.6667      61.6667      19.0000      78.0000      23.3333     0.333333      0.00000      256.000
2022-08-29 14:39:33.900660   2022-08-29 14:39:36.900660        204.00002       3.0000000      64.3333      75.6667      24.3333      71.0000      25.0000     0.333333      0.00000      260.667
2022-08-29 14:39:36.900638   2022-08-29 14:39:39.900638        207.00000       3.0000000      67.6667      67.3333      21.6667      67.6667      16.3333     0.666667      0.00000      241.333
2022-08-29 14:39:39.900648   2022-08-29 14:39:42.900648        210.00001       3.0000000      57.3333      67.0000      23.6667      70.6667      24.0000      0.00000      0.00000      242.667
2022-08-29 14:39:42.900657   2022-08-29 14:39:45.900657        213.00002       3.0000000      71.0000      70.3333      23.3333      70.6667      24.3333      0.00000      0.00000      259.667
2022-08-29 14:39:45.900636   2022-08-29 14:39:48.900636        216.00000       3.0000000      60.6667      58.0000      22.0000      71.0000      22.3333     0.333333      0.00000      234.333
2022-08-29 14:39:48.900648   2022-08-29 14:39:51.900648        219.00001       3.0000000      68.3333      68.3333      23.6667      56.0000      24.3333      0.00000      0.00000      240.667
2022-08-29 14:39:51.900658   2022-08-29 14:39:54.900658        222.00002       3.0000000      71.0000      75.0000      22.6667      59.3333      23.0000      0.00000      0.00000      251.000
2022-08-29 14:39:54.900637   2022-08-29 14:39:57.900637        225.00000       3.0000000      54.3333      57.6667      22.6667      65.6667      26.6667      0.00000      0.00000      227.000
2022-08-29 14:39:57.900645   2022-08-29 14:40:00.900645        228.00001       3.0000000      59.3333      54.0000      23.6667      67.0000      24.0000     0.666667      0.00000      228.667
2022-08-29 14:40:00.900654   2022-08-29 14:40:03.900654        231.00002       3.0000000      74.6667      59.6667      25.0000      74.0000      24.6667     0.333333      0.00000      258.333
2022-08-29 14:40:03.900635   2022-08-29 14:40:06.900635        234.00000       3.0000000      64.3333      62.3333      21.0000      77.6667      31.0000     0.666667      0.00000      257.000
2022-08-29 14:40:06.900644   2022-08-29 14:40:09.900644        237.00001       3.0000000      61.6667      65.6667      26.0000      81.3333      25.6667     0.666667      0.00000      261.000
2022-08-29 14:40:09.900653   2022-08-29 14:40:12.900653        240.00002       3.0000000      69.0000      62.0000      23.0000      71.0000      32.3333      0.00000      0.00000      257.333
2022-08-29 14:40:12.900661   2022-08-29 14:40:15.900661        243.00003       3.0000000      64.0000      66.6667      24.3333      72.0000      29.0000     0.666667      0.00000      256.667
2022-08-29 14:40:15.900641   2022-08-29 14:40:18.900641        246.00001       3.0000000      58.0000      64.6667      19.6667      69.6667      29.3333      0.00000      0.00000      241.333
2022-08-29 14:40:18.900649   2022-08-29 14:40:21.900649        249.00001       3.0000000      64.3333      62.6667      23.3333      66.6667      30.6667     0.333333      0.00000      248.000
2022-08-29 14:40:21.900658   2022-08-29 14:40:24.900658        252.00002       3.0000000      67.3333      57.3333      19.6667      66.6667      23.3333      1.00000      0.00000      235.333
2022-08-29 14:40:24.900637   2022-08-29 14:40:27.900637        255.00000       3.0000000      71.3333      63.3333      27.0000      74.6667      30.6667      0.00000      0.00000      267.000
2022-08-29 14:40:27.900646   2022-08-29 14:40:30.900646        258.00001       3.0000000      69.3333      61.3333      26.0000      79.6667      34.0000      0.00000      0.00000      270.333
2022-08-29 14:40:30.900655   2022-08-29 14:40:33.900655        261.00002       3.0000000      72.6667      78.0000      27.3333      86.6667      34.0000      1.00000      0.00000      299.667
2022-08-29 14:40:33.900635   2022-08-29 14:40:36.900635        264.00000       3.0000000      73.0000      81.3333      30.6667      90.0000      40.3333     0.666667      0.00000      316.000
2022-08-29 14:40:36.900644   2022-08-29 14:40:39.900644        267.00001       3.0000000      74.6667      76.3333      36.0000      98.0000      52.0000      1.00000      0.00000      338.000
2022-08-29 14:40:39.900654   2022-08-29 14:40:42.900654        270.00002       3.0000000      59.6667      76.0000      34.6667      103.333      45.6667      1.33333      0.00000      320.667
2022-08-29 14:40:42.900663   2022-08-29 14:40:45.900663        273.00003       3.0000000      68.6667      70.6667      34.3333      86.0000      35.3333     0.666667      0.00000      295.667
2022-08-29 14:40:45.900642   2022-08-29 14:40:48.900642        276.00001       3.0000000      81.3333      82.3333      30.6667      73.6667      36.0000     0.666667      0.00000      304.667
2022-08-29 14:40:48.900653   2022-08-29 14:40:51.900653        279.00002       3.0000000      86.0000      75.6667      36.0000      87.3333      28.6667      1.00000      0.00000      314.667
2022-08-29 14:40:51.900654   2022-08-29 14:40:54.900654        282.00002       3.0000000      88.0000      123.333      52.3333      98.0000      52.3333      2.33333      0.00000      416.333
2022-08-29 14:40:54.900635   2022-08-29 14:40:57.900635        285.00000       3.0000000      115.333      159.000      86.3333      151.333      93.6667      3.00000      0.00000      608.667
2022-08-29 14:40:57.900644   2022-08-29 14:41:00.900644        288.00001       3.0000000      144.000      207.667      128.333      176.667      131.333      4.66667      0.00000      792.667
2022-08-29 14:41:00.900654   2022-08-29 14:41:03.900654        291.00002       3.0000000      153.000      287.667      180.333      216.333      182.000      20.3333      0.00000      1039.67
2022-08-29 14:41:03.900637   2022-08-29 14:41:06.900637        294.00000       3.0000000      215.333      343.333      232.333      216.000      192.333      29.6667      0.00000      1229.00
2022-08-29 14:41:06.900646   2022-08-29 14:41:09.900646        297.00001       3.0000000      228.667      384.667      243.333      229.667      215.000      32.6667      1.00000      1335.00
2022-08-29 14:41:09.900656   2022-08-29 14:41:12.900656        300.00002       3.0000000      215.000      363.000      213.667      214.667      168.667      18.6667      0.00000      1193.67

